id,title,description,thumbnail,url,tags,department,status
1,3D-Anatomy,,,,,PHE,Active (Purchased)
2,ABC Star - Letter Tracing,Learn to write the alphabet,https://drive.google.com/thumbnail?id=1V2frvMsp-tLy5iOgcQJHYgYbxvKrgNJO&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/abc-star-letter-tracing/id1252191274,Writing,Early Years,Active (Free)
3,Academia,,,,,Performing Arts,Active (Purchased)
4,Active History,,,,,I&S,Active (Purchased)
5,Adobe Photoshop,,,,,Visual Arts,Being Purchased
6,Apple Swift Playgrounds,Learn real coding the fun way,https://drive.google.com/thumbnail?id=1V_drJg1TbaAdkoOoXlLTQlrNck8EJMnk&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/swift-playgrounds/id908519492,Coding,Primary,Active (Free)
7,AR Makr,Augmented Reality Playground,https://drive.google.com/thumbnail?id=1dUsZDJiBr7JKP4ra0CrxwepGYDjmnxms&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/ar-makr/id1434081130,Design,"Primary, Design",Active (Free)
8,ASCD (Association for Supervision and Curriculum Development),,,,,Primary,Being Purchased
9,Assessprep Plus,,,,,Whole Secondary,Active (Purchased)
10,Autodesk:SketchBook,"Draw, paint & sketch anywhere",https://drive.google.com/thumbnail?id=1NE54sVRtVN2nIckjLcKsNx8Ay_gURo8U&sz=w{{130}}-h{{130}},https://apps.apple.com/in/app/autodesk-sketchbook/id883738213,Art,Primary;Design,Expired
11,Avid ProTools,,,,,Performing Arts,Being Purchased
12,Bamboozle,,,,,Primary,Being Purchased
13,Bamboozle,,,,,LAQ,Active (Purchased)
14,BeanStack,,,,,L&L,Active (Purchased)
15,Beebots,"The App makes use of Bee-Bot’s key functionality and enables children to improve their skills in directional language, programming sequences of forwards, backwards, left and right 90 degree turns",https://drive.google.com/thumbnail?id=1896C_3Tt7buNjOOnb1lFReplGt2FMgOs&sz=w{{130}}-h{{130}},https://apps.apple.com/gb/app/bee-bot/id500131639,Coding,Early Years,Active (Free)
16,Big Universe,,,,,"Primary Library, Primary",Active (Purchased)
17,Biome Viewer,BiomeViewer lets you explore and discover Earth’s ecosystems with a tap of your finger! ,https://drive.google.com/thumbnail?id=1bNRoVnSAMfp_nCQQb0GO0j77sgb4-rOi&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/biomeviewer/id1138439750,UOI,Primary,Active (Free)
18,Bloomberg,,,,,I&S,Active (Purchased)
19,Book Creator,"With over 30 million ebooks created so far, Book Creator is ideal for making all kinds of books, including children's picture books, comic books, photo books, journals, textbooks and more.",https://drive.google.com/thumbnail?id=1bgbmByw8q4sN6USeaFxOmQOWxQeVM615&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/book-creator-for-ipad/id442378070,Literacy;Creation,"Primary, L&L",Being Purchased
20,Booked Scheduler,,,,,Whole Primary,Active (Purchased)
21,BrainPop & BrainPop Jr,,,,,Primary Library;Primary,Active (Purchased)
22,Britannica Kids,,,,,Primary Library,Active (Purchased)
23,Britannica School,,,,,Secondary Library,Active (Purchased)
24,Canva,"Graphic Design, Video, Logo, Card, Flyer and poster maker",https://drive.google.com/thumbnail?id=1fSqBfFWJcwD3vWQR91bzm0Qw8ipPmX5v&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/canva-graphic-design-video/id897446215,Design,Whole School,Active (Free)
25,Canva,,,,,Communications,Active (Purchased)
26,Cardiography,,,,,PHE,Active (Purchased)
27,Chatterpix Kids,Make anything talk!,https://drive.google.com/thumbnail?id=1t2OeJL_aicbvI3PC1Urvd8o3u4wMjvaq&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/chatterpix-kids/id734046126,World Languages / LAQ ,Primary; Early Years,Active (Free)
28,Cialfo,,,,,College Counselor,Active (Purchased)
29,Cialfo,,,,,College Counselor,Active (Purchased)
30,CLEAPSS,,,,,Secondary Science,Active (Purchased)
31,Clips,Video editor,https://drive.google.com/thumbnail?id=1Xc71Lru7sWYdRIvPH6PQlk4uN4wjgtSb&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/clips/id1212699939,Video,Primary,Active (Free)
32,"Code Guppy: New: Illustrated JavaScript Coding Course
by Adrian",,,,,Design,Being Purchased
33,Code Karts,Pre-coding logic. Learn to think like a coder,https://drive.google.com/thumbnail?id=1U6wOHLPEvYqRipWCw_Y3txRUL-m52hms&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/code-karts-pre-coding-logic/id1222704761,Coding,Early Years,Active (Free)
34,Codeapilar,"Helps teach sequnecing, problem solving, counting and more!",https://drive.google.com/thumbnail?id=1Ap7O28reonj4xrEmFDk0qRKqUjK1Idgk&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/think-learn-code-a-pillar/id1110815901,Coding,Early Years,Active (Free)
35,codeSpark,Learn Coding and STEM for kids,https://drive.google.com/thumbnail?id=1glq700iFZBKVYDikOcYkO7nnH-RXMm_j&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/codespark-academy-kids-coding/id923441570,Coding,Primary,Active (Free)
36,College Board Membership Fee,,,,,College Counselor,Active (Purchased)
37,Cospaces Edu,Make AR & VR in the classroom,https://drive.google.com/thumbnail?id=1xV69qBmzNCqpCaGioj1BLT558lST4cZz&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/cospaces-edu/id1224622426,Coding,Primary,Active (Purchased)
38,CoSpaces EDU + Merge Cube Addon,,,,,Primary,Active (Purchased)
39,CPOMS,,,,,Whole School,Active (Purchased)
40,Daisy the Dinosaur,Learn the basics of coding with Daisy the Dinosaur!,https://drive.google.com/thumbnail?id=1eM4Xqu6XlbSnHudsHH1tRGDssAunhpXp&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/daisy-the-dinosaur/id490514278,Coding,Early Years,Active (Free)
41,Digital Theatre Plus,,,,,Performing Arts,Active (Purchased)
42,Edpuzzle,Make any video your lesson,https://drive.google.com/thumbnail?id=1-zcmp_jRBKeVGO4Q8-eYJcBmnor9fT8_&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/edpuzzle/id919598209,Video,Primary,Active (Free)
43,EdVal Choice,,,,,Whole Secondary,Active (Purchased)
44,Edval Daily,,,,,Whole School,Active (Purchased)
45,Edval Daily,,,,,Whole Primary,Active (Purchased)
46,Edval Timetable,,,,,Whole School,Active (Purchased)
47,Endless Reader ,Sight Words for Kids,https://drive.google.com/thumbnail?id=144WRZul1rNGFdAWepmnSQWDC150YxIEY&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/endless-reader/id722910739,Reading,Primary,Active (Free)
48,Epic!,Library & Education for Kids,https://drive.google.com/thumbnail?id=11j8EeZ4scDWCxD_HxQmytteCpolB-Ubn&sz=w{{130}}-h{{130}},https://apps.apple.com/us/app/epic-kids-books-reading/id719219382,Reading,Primary,Active (Free)
49,Exammate,,,,,Mathematics,Being Purchased
50,Fitnessgram,,,,,Primary,Expired
51,Flint AI K-12,,,,,Secondary Library,Active (Purchased)
52,Flipgrid,Empower every voice,https://drive.google.com/thumbnail?id=16rHp2XmoPKSYcrirh2a_qm5HnOYWwX8c&sz=w{{130}}-h{{130}},https://apps.apple.com/bn/app/flipgrid/id756972930,Video,Primary,Expired
53,Focus Learning,,,,,Design,Active (Purchased)
54,Focus on Sound,,,,,Performing Arts,Being Purchased
55,Follet Destiny Library,,,,,Primary Library; Primary ,Active (Purchased)
